# R@VT IREC 2026 (Up to date)
# 3169 data points written for 15 variables.
# Simulation warnings:
#   Recovery device deployment at high speed (23.1 m/s):  "SkyAngle Classic II 36 [Cd 1.34 (8.4 oz) 56.6 in^3] With Shock Cord"
#   Recovery device deployment at high speed (23.7 m/s):  "SkyAngle Classic Cert-3 XL (MUTD)"
#
# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Latitude (° N),Longitude (° E),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Gravitational acceleration (m/s²),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
7.605851562499698,1610.509933105565,1811.677933105565,203.8244442756302,206.12211971916798,-17.000092845812706,17.036346605573456,37.19479149445299,-80.39197100457918,0,0.385925967968293,0.147995055581635,9.793655116064182,0.01,0.339262417
7.615851562499698,1612.5473277881488,1813.715327788149,203.6545166723712,205.9524345049005,-16.98542900033624,17.021567463638995,37.19479149611804,-80.39196754841652,0,0.367597631131578,0.191676329334663,9.793648853984687,0.01,0.339510167
7.625851562499697,1614.583023927272,1815.751023927272,203.48473551624048,205.78289846456258,-16.97080170122774,17.00682437043642,37.19479149778389,-80.39196409350248,0,0.333681151373305,0.247412586647229,9.793642597131786,0.01,0.339759208
7.635851562499697,1616.6170229856025,1817.7850229856026,203.31510046429094,205.61351125183947,-16.956206270589576,16.992114625637928,37.194791499450496,-80.39196063983455,0,0.268400622613744,0.316581643023861,9.793636345500971,0.01,0.3400085
7.645851562499697,1618.6493264227095,1819.8173264227094,203.1456112218304,205.44427252157013,-16.941643264917683,16.977438490080353,37.19479150111782,-80.3919571874102,0,0.157452272202781,0.384960311883743,9.793630099087741,0.01,0.3402535
7.655851562499697,1620.6799356949755,1821.8479356949756,202.9762674300787,205.27518192976217,-16.927112610286358,16.962795866008435,37.19479150278587,-80.3919537362269,0,-0.008803662881636,0.415676090121844,9.793623857887605,0.01,0.340500667
7.665851562499697,1622.7088522553527,1823.8768522553528,202.80706879925742,205.10623913358236,-16.9126121144291,16.94818544935271,37.19479150445465,-80.39195028628222,0,-0.170485580730752,0.379381970530263,9.793617621896082,0.01,0.340746958
7.675851562499696,1624.7360775538723,1825.9040775538724,202.63801500784155,204.93744379133778,-16.898144811072015,16.933608913026855,37.19479150612422,-80.3919468375737,0,-0.283341519698989,0.305269691190123,9.793611391108698,0.01,0.341010625
7.685851562499696,1626.7616130373042,1827.929613037304,202.46910573627554,204.76879556248778,-16.883708518466403,16.919064962007855,37.194791507794626,-80.3919433900989,0,-0.347549815732902,0.228255071652353,9.793605165520994,0.01,0.3412585
7.695851562499696,1628.7854601494532,1829.9534601494533,202.3003407027717,204.6002941076221,-16.86929615767259,16.90454949501764,37.19479150946597,-80.39193994385546,0,-0.378707954691335,0.168724044349305,9.793598945128517,0.01,0.341499417
7.705851562499696,1630.8076203314185,1831.9756203314187,202.1317196621543,204.4319390884496,-16.85491130942448,16.890064490757727,37.194791511138384,-80.39193649884103,0,-0.394949929424524,0.123655675411291,9.79359272992682,0.01,0.341722917
7.715851562499696,1632.8280950218184,1833.9960950218183,201.96324234661301,204.26373016777964,-16.84055057914695,16.875607948389458,37.19479151281199,-80.39193305505334,0,-0.404185458119873,0.084133512918942,9.79358651991147,0.01,0.341945042
7.725851562499695,1634.8468856567065,1836.0148856567066,201.79490850979232,204.0956670095232,-16.826214600340883,16.861180163127685,37.19479151448694,-80.39192961249022,0,-0.408547463850354,0.050121897257175,9.793580315078044,0.01,0.342165167
7.735851562499695,1636.8639936695888,1838.0319936695887,201.62671791294204,203.9277492786865,-16.811902557174744,16.84678060439615,37.19479151616338,-80.39192617114949,0,-0.409526882915506,0.017550248924287,9.793574115422112,0.01,0.342386708
7.745851562499695,1638.879420491775,1840.047420491775,201.45867032701193,203.759976641347,-16.79761133783626,16.832407418223724,37.194791517841495,-80.39192273102914,0,-0.407654343868792,-0.010074251880805,9.793567920939264,0.01,0.342608042
7.755851562499695,1640.8931675523338,1842.0611675523337,201.29076555455592,203.59234876465757,-16.78334125518201,16.818060719990534,37.194791519521466,-80.39191929212721,0,-0.404556571474668,-0.03930370747866,9.793561731625093,0.01,0.342829167
7.765851562499694,1642.9052362782693,1844.0732362782692,201.1230033704547,203.42486531681416,-16.769094264952443,16.80374156602471,37.19479152120346,-80.39191585444185,0,-0.398958890279113,-0.06948908818831,9.793555547475197,0.01,0.343062292
7.775851562499694,1644.915628094302,1846.0836280943022,200.95538352604024,203.25752596706252,-16.754872922002946,16.789451362190693,37.194791522887655,-80.39191241797124,0,-0.391728714589478,-0.098052874619648,9.79354936848519,0.01,0.343285292
7.785851562499694,1646.9243444225178,1848.0923444225177,200.7879057640399,203.09033038571235,-16.740677738354183,16.775190348689925,37.19479152457419,-80.39190898271367,0,-0.382175418743427,-0.128621697549555,9.793543194650674,0.01,0.3435085
